title,category,price,no_of_ratings_given,product_offer
Accu-Chek Active Glucometer Test Strips Box Of 50,Healthcare,₹847.4,(2383ratings),24% OFF
Pharmeasy Diabetic Protein Powder Chocolate Flavour 400g,Healthcare,₹400.05,(98ratings),55% OFF
Accu-Chek Instant | 50 Test Strips,Healthcare,₹836.25,(1594ratings),25% OFF
Liveasy Foods Healthy Roasted Seed Mix - Blend Of 6 Fibre Rich Healthy Roasted Seeds - 200 Gms,Healthcare,₹168.3,(625ratings),55% OFF
Gelusil Mps Original Mint Flavour Sugar Free Bottle Of 400ml Liquid,Healthcare,₹185.78,(344ratings),22% OFF
Everherb (By Pharmeasy) Flaxseed Omega 3 - Essential Fatty Acids - Healthy Heart - Bottle Of 60,Healthcare,₹292.13,(303ratings),61% OFF
Contour Plus | Box | Test Strip | 50 No'S,Healthcare,₹872.52,(761ratings),19% OFF
Liveasy Foods Healthy Seed Mix - Blend Of 6 Fibre Rich Healthy Seeds - 200 Gms,Healthcare,₹143.88,(554ratings),56% OFF
Onetouch Select Test Strips | Pack Of 50 Strips |For Use With Onetouch Select Simple Glucometer,Healthcare,₹1087.8,(755ratings),16% OFF
Pharmeasy Apple Cider Vinegar With Mother -Improves Metabolism- 500ml Bottle,Healthcare,₹268.04,(117ratings),65% OFF
Accu-Chek Active | 2 X 50 Test Strips,Healthcare,₹1514.49,(1347ratings),23% OFF
Digene Gel Acidity & Gas Relief - 200ml Mint Flavour Sugar Free,Healthcare,₹155.44,(257ratings),14% OFF
Cremaffin Constipation Relief Mint Flavour Sugar Free Bottle Of 225ml Liquid,Healthcare,₹264.43,(209ratings),17% OFF
Onetouch Select Plus Test Strips | Pack Of 50 Strips | For Use With Onetouch Select Plus Simple,Healthcare,₹918.4,(376ratings),18% OFF
Sugar Free Gold Plus Sweetener Bottle Of 500 Pellets,Healthcare,₹261,(129ratings),13% OFF
Pharmeasy Coenzyme Q10 (Coq10) 200mg With Piperine - For Heart Health Bottle Of 60 Capsules,Healthcare,₹770.65,,53% OFF
